Date,Exchange Rate BTC/AED,Exchange Rate BTC/USD,Exchange Rate USD/AED,Amount BTC,Electricity Costs,Total Electricity Costs,Money taken out
2021-05-14,183171.29943118524,49880.53515625,3.672199964523315,,,0.0,
2021-05-15,171712.75887860358,46760.1875,3.672199964523315,,,0.0,
2021-05-16,170595.9367198618,46456.05859375,3.672199964523315,,,0.0,
2021-05-17,159897.61074903142,43537.51171875,3.672640085220337,,,0.0,
2021-05-18,157571.90576443542,42909.40234375,3.672199964523315,,,0.0,
2021-05-19,135880.3640193073,37002.44140625,3.672199964523315,,,0.0,
2021-05-20,149762.3700695699,40782.73828125,3.672199964523315,,,0.0,
2021-05-21,136990.28645858448,37304.69140625,3.672199964523315,,,0.0,
2021-05-22,137842.02168238722,37536.6328125,3.672199964523315,,,0.0,
2021-05-23,124968.66568175516,34031.0078125,3.672199964523315,0.00925242,16.367520000000003,16.367520000000003,
2021-05-24,143675.08926324546,39118.6796875,3.672800064086914,0.01205074,35.19936,51.56688,
2021-05-25,139451.291594184,37974.86328125,3.672199964523315,0.01605634,35.2512,86.81808,
2021-05-26,141021.89789842535,38395.24609375,3.6728999614715576,0.01973206,41.10048,127.91856,
2021-05-27,143131.45277347416,38977.03125,3.672199964523315,0.02551421,41.30784,169.22639999999998,
2021-05-28,128641.84107439406,35031.2734375,3.672199964523315,0.03014208,44.97984,214.20624,
2021-05-29,126089.90595607924,34336.33984375,3.672199964523315,0.03327968,45.29952,259.50576,
2021-05-30,132682.72417754307,36131.671875,3.672199964523315,0.03860091,45.41184,304.9176,
2021-05-31,135009.6913870424,36759.3359375,3.672800064086914,0.04378647,41.3424,346.26,
2021-06-01,132918.96985435393,36199.94921875,3.671799898147583,0.04823731,40.44384,386.70384,
2021-06-02,138957.92579113785,37840.51171875,3.672199964523315,0.05272747,40.92768,427.63152,
2021-06-03,142742.8006157279,38864.84375,3.672800064086914,0.05712381,43.65792,471.28944,
2021-06-05,132011.4574996531,35948.875,3.672199964523315,0.06511331,44.22816,515.5176,
2021-06-06,131860.86861204542,35907.8671875,3.672199964523315,0.07020195,44.18496,559.7025600000001,
2021-06-07,130114.42277662456,35426.4921875,3.672800064086914,0.07469592,43.88255999999999,603.58512,
2021-06-08,123152.59387753812,33532.80859375,3.672600030899048,0.07943448,44.15903999999999,647.74416,
2021-06-09,131854.6761898147,35902.26953125,3.672600030899048,0.08316824,44.21088,691.9550399999999,
2021-06-10,139521.45087500755,37989.93359375,3.6725900173187256,0.08610963,44.13311999999999,736.0881599999999,
2021-06-11,136836.22666889522,37255.63671875,3.6728999614715576,0.09138547,43.60607999999999,779.6942399999999,
2021-06-12,131034.73837627655,35682.8984375,3.672199964523315,0.09617696,43.77888,823.4731199999999,
2021-06-13,137389.0070453575,37413.26953125,3.672199964523315,0.09945086,44.09856,867.5716799999999,
2021-06-14,146809.33632418513,39972.046875,3.672800064086914,0.10358287,44.21088,911.78256,
2021-06-15,146612.28199262172,39918.39453125,3.672800064086914,0.10846108,44.15903999999999,955.9416,
2021-06-16,142335.59325549752,38753.97265625,3.672800064086914,0.11171877,44.26272,1000.2043199999998,
2021-06-17,138503.8154667616,37710.6875,3.672800064086914,0.11645862,43.82208,1044.0263999999995,
2021-06-18,134544.7378539294,36632.7421875,3.672800064086914,0.1196716,44.21088,1088.2372799999998,
2021-06-19,132296.78456799034,36026.57421875,3.672199964523315,0.12438803,43.91712,1132.1544,
2021-06-20,127216.97011003456,34643.2578125,3.672199964523315,0.1269765,44.28,1176.4344,
2021-06-21,120782.61254504324,32885.703125,3.672800064086914,0.13140589,43.82208,1220.2564799999998,
2021-06-22,109083.775926847,29700.439453125,3.672800064086914,0.13629407,44.28,1264.5364799999998,
2021-06-23,125287.75172050204,34114.18359375,3.672600030899048,0.14099701,44.28,1308.81648,
2021-06-24,125115.11062689126,34065.3203125,3.672800064086914,0.1441625,44.35776,1353.17424,
2021-06-25,119971.82041058315,32664.947265625,3.672800064086914,0.1471886,43.32096,1396.4952,
2021-06-26,113692.7596992841,30960.39453125,3.672199964523315,0.15030411,43.57152,1440.06672,
2021-06-27,119427.46655286616,32522.048828125,3.672199964523315,0.1547559,46.4832,1486.54992,
2021-06-28,127440.41487115715,34704.10546875,3.6721999645233154,0.15869085,46.69056,1533.24048,
